2017/03/03 14:57:53 stream opened
2017/03/03 14:57:57 stream closed
2017/03/03 14:58:36 stream closed
2017/03/03 14:58:38 stream opened
2017/03/03 14:59:38 stream closed
2017/03/03 14:59:40 stream opened
2017/03/03 14:59:47 stream opened
2017/03/03 14:59:47 stream opened
2017/03/03 14:59:47 stream opened
2017/03/03 14:59:47 stream opened
2017/03/03 14:59:49 stream opened
2017/03/03 15:00:00 stream closed
2017/03/03 15:00:03 stream closed
2017/03/03 15:00:03 stream opened
2017/03/03 15:00:34 stream opened
2017/03/03 15:00:41 stream closed
2017/03/03 15:00:43 stream opened
2017/03/03 15:00:48 stream closed
2017/03/03 15:00:49 stream closed
2017/03/03 15:00:49 stream closed
2017/03/03 15:01:23 stream closed
2017/03/03 15:01:44 stream closed
2017/03/03 15:01:45 stream opened
2017/03/03 15:02:03 stream closed
2017/03/03 15:02:05 stream opened
2017/03/03 15:02:08 stream closed
2017/03/03 15:02:46 stream closed
2017/03/03 15:02:48 stream opened
2017/03/03 15:03:49 stream closed
2017/03/03 15:03:51 stream opened
2017/03/03 15:04:11 stream closed
2017/03/03 15:04:13 stream opened
2017/03/03 15:04:52 stream closed
2017/03/03 15:04:54 stream opened
2017/03/03 15:05:55 stream closed
2017/03/03 15:05:56 stream opened
2017/03/03 15:06:17 stream opened
2017/03/03 15:06:20 stream closed
2017/03/03 15:06:20 stream opened
2017/03/03 15:06:57 stream closed
2017/03/03 15:06:59 stream opened
2017/03/03 15:07:18 stream closed
2017/03/03 15:08:00 stream closed
2017/03/03 15:08:01 stream opened
2017/03/03 15:08:22 stream opened
2017/03/03 15:09:03 stream closed
2017/03/03 15:09:04 stream opened
2017/03/03 15:09:22 stream closed
2017/03/03 15:09:36 stream opened
2017/03/03 15:09:38 stream opened
2017/03/03 15:09:39 stream opened
2017/03/03 15:09:45 stream opened
2017/03/03 15:09:45 stream opened
2017/03/03 15:09:45 stream opened
2017/03/03 15:09:46 stream opened
2017/03/03 15:10:01 stream closed
2017/03/03 15:10:01 stream closed
2017/03/03 15:10:01 stream opened
2017/03/03 15:10:05 stream closed
2017/03/03 15:10:08 stream opened
2017/03/03 15:10:39 stream closed
2017/03/03 15:10:40 stream closed
2017/03/03 15:10:45 stream closed
2017/03/03 15:10:46 stream closed
2017/03/03 15:11:00 stream closed
2017/03/03 15:11:01 stream closed
2017/03/03 15:11:08 stream closed
2017/03/03 15:11:12 stream opened
2017/03/03 15:11:39 stream closed
2017/03/03 15:12:13 stream closed
2017/03/03 15:12:17 stream opened
2017/03/03 15:12:31 stream opened
2017/03/03 15:12:56 stream opened
2017/03/03 15:12:56 stream opened
2017/03/03 15:13:10 stream opened
2017/03/03 15:13:18 stream closed
2017/03/03 15:13:20 stream opened
2017/03/03 15:13:57 stream closed
2017/03/03 15:13:57 stream closed
2017/03/03 15:14:11 stream closed
2017/03/03 15:14:21 stream closed
2017/03/03 15:14:23 stream opened
2017/03/03 15:14:46 stream opened
2017/03/03 15:14:49 stream opened
2017/03/03 15:15:24 stream closed
2017/03/03 15:15:25 stream opened
2017/03/03 15:15:34 stream opened
2017/03/03 15:15:42 stream opened
2017/03/03 15:15:46 stream closed
2017/03/03 15:15:49 stream closed
2017/03/03 15:16:01 stream opened
2017/03/03 15:16:26 stream closed
2017/03/03 15:16:30 stream opened
2017/03/03 15:16:35 stream closed
2017/03/03 15:16:53 stream closed
2017/03/03 15:17:01 stream closed
2017/03/03 15:17:30 stream closed
2017/03/03 15:17:34 stream opened
2017/03/03 15:17:42 stream closed
2017/03/03 15:17:43 stream opened
2017/03/03 15:18:09 stream opened
2017/03/03 15:18:34 stream closed
2017/03/03 15:18:37 stream opened
2017/03/03 15:18:54 stream opened
2017/03/03 15:19:10 stream closed
2017/03/03 15:19:32 stream opened
2017/03/03 15:19:33 stream opened
2017/03/03 15:19:36 stream opened
2017/03/03 15:19:38 stream closed
2017/03/03 15:19:40 stream opened
2017/03/03 15:19:57 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:19:58 stream opened
2017/03/03 15:20:18 stream closed
2017/03/03 15:20:18 stream closed
2017/03/03 15:20:18 stream closed
2017/03/03 15:20:18 stream closed
2017/03/03 15:20:18 stream closed
2017/03/03 15:20:18 stream opened
2017/03/03 15:20:19 stream opened
2017/03/03 15:20:19 stream opened
2017/03/03 15:20:19 stream opened
2017/03/03 15:20:19 stream opened
2017/03/03 15:20:19 stream opened
2017/03/03 15:20:20 stream opened
2017/03/03 15:20:21 stream opened
2017/03/03 15:20:21 stream opened
2017/03/03 15:20:21 stream opened
2017/03/03 15:20:21 stream closed
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream opened
2017/03/03 15:20:28 stream closed
2017/03/03 15:20:29 stream closed
2017/03/03 15:20:29 stream opened
2017/03/03 15:20:29 stream closed
2017/03/03 15:20:29 stream closed
2017/03/03 15:20:29 stream closed
2017/03/03 15:20:29 stream closed
2017/03/03 15:20:33 stream closed
2017/03/03 15:20:33 stream closed
2017/03/03 15:20:41 stream closed
2017/03/03 15:20:44 stream closed
2017/03/03 15:20:44 stream closed
2017/03/03 15:20:44 stream closed
2017/03/03 15:20:48 stream closed
2017/03/03 15:20:48 stream closed
2017/03/03 15:20:48 stream closed
2017/03/03 15:20:48 stream closed
2017/03/03 15:20:48 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:49 stream opened
2017/03/03 15:20:51 stream opened
2017/03/03 15:20:52 stream closed
2017/03/03 15:20:53 stream opened
2017/03/03 15:20:53 stream opened
2017/03/03 15:20:54 stream opened
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:58 stream closed
2017/03/03 15:20:59 stream closed
2017/03/03 15:20:59 stream closed
2017/03/03 15:21:20 stream closed
2017/03/03 15:21:21 stream closed
2017/03/03 15:21:21 stream closed
2017/03/03 15:21:29 stream closed
2017/03/03 15:21:29 stream closed
2017/03/03 15:21:35 stream closed
2017/03/03 15:21:48 stream closed
2017/03/03 15:21:49 stream closed
2017/03/03 15:21:49 stream closed
2017/03/03 15:21:49 stream closed
2017/03/03 15:21:50 stream closed
2017/03/03 15:21:50 stream closed
2017/03/03 15:21:50 stream closed
2017/03/03 15:21:50 stream closed
2017/03/03 15:21:51 stream closed
2017/03/03 15:21:51 stream closed
2017/03/03 15:21:51 stream closed
2017/03/03 15:21:55 stream closed
2017/03/03 15:21:55 stream closed
2017/03/03 15:21:55 stream closed
2017/03/03 15:21:55 stream closed
2017/03/03 15:21:56 stream closed
2017/03/03 15:23:09 stream closed
2017/03/03 15:31:36 stream opened
2017/03/03 15:31:36 stream opened
2017/03/03 15:31:37 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:38 stream opened
2017/03/03 15:31:39 stream opened
2017/03/03 15:31:39 stream opened
2017/03/03 15:31:39 stream opened
2017/03/03 15:31:40 stream opened
2017/03/03 15:31:40 stream opened
